,country,stars,date
669,United Kingdom,9,2019-03-08
670,United Kingdom,5,2019-03-07
671,United States,3,2019-03-04
672,United Kingdom,3,2019-03-03
673,United Kingdom,10,2019-03-03
674,United Kingdom,1,2019-03-02
675,United States,2,2019-02-28
676,United Kingdom,1,2019-02-26
677,United Kingdom,1,2019-02-26
678,United Kingdom,3,2019-02-25
679,United Kingdom,3,2019-02-24
680,South Africa,1,2019-02-23
681,United Kingdom,6,2019-02-22
682,United States,10,2019-02-20
683,South Korea,8,2019-02-20
684,United Kingdom,10,2019-02-19
685,United Kingdom,5,2019-02-19
686,United Kingdom,8,2019-02-18
687,United Kingdom,10,2019-02-18
688,United States,3,2019-02-15
689,Spain,2,2019-02-15
690,Sweden,3,2019-02-13
691,United Kingdom,2,2019-02-12
692,Netherlands,2,2019-02-12
693,United Kingdom,9,2019-02-12
694,United Kingdom,7,2019-02-11
695,United Kingdom,9,2019-02-11
696,United Kingdom,10,2019-02-10
697,Germany,2,2019-02-04
698,United Kingdom,9,2019-02-04
699,France,1,2019-02-03
700,United States,7,2019-02-03
701,United Kingdom,6,2019-02-03
702,India,1,2019-02-02
703,Switzerland,6,2019-02-01
704,United States,7,2019-02-01
705,United Kingdom,4,2019-01-31
706,France,2,2019-01-31
707,United Kingdom,6,2019-01-30
708,United Kingdom,7,2019-01-30
709,United Kingdom,8,2019-01-28
710,Ireland,9,2019-01-28
711,United Kingdom,1,2019-01-28
712,Malaysia,2,2019-01-26
713,Switzerland,1,2019-01-26
714,United States,2,2019-01-25
715,Sweden,10,2019-01-24
716,United Kingdom,3,2019-01-23
717,United States,2,2019-01-22
718,United Kingdom,3,2019-01-21
719,United Kingdom,7,2019-01-21
720,United Kingdom,5,2019-01-21
721,United Kingdom,2,2019-01-19
722,United States,1,2019-01-19
723,United Kingdom,3,2019-01-18
724,Australia,1,2019-01-16
725,Italy,10,2019-01-16
726,United Kingdom,1,2019-01-16
727,United Kingdom,3,2019-01-15
728,United States,4,2019-01-15
729,United Kingdom,1,2019-01-14
730,United States,6,2019-01-12
731,United States,5,2019-01-10
732,United States,3,2019-01-10
733,South Africa,10,2019-01-09
734,United States,7,2019-01-07
735,United Kingdom,1,2019-01-07
736,United Kingdom,10,2019-01-05
737,Greece,2,2019-01-03
738,United Kingdom,3,2019-01-02
739,Thailand,8,2018-12-30
740,United Kingdom,7,2018-12-29
741,United States,1,2018-12-24
742,South Africa,1,2018-12-24
743,United Kingdom,1,2018-12-24
744,United States,4,2018-12-23
745,United States,1,2018-12-23
746,United Kingdom,6,2018-12-22
747,United Kingdom,10,2018-12-19
748,United Kingdom,4,2018-12-19
749,United Kingdom,1,2018-12-19
750,United Kingdom,8,2018-12-18
751,Australia,2,2018-12-18
752,United Kingdom,6,2018-12-17
753,Greece,2,2018-12-13
